STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,AWND,AWND_ATTRIBUTES,PGTM,PGTM_ATTRIBUTES,PRCP,PRCP_ATTRIBUTES,SNOW,SNOW_ATTRIBUTES,SNWD,SNWD_ATTRIBUTES,TAVG,TAVG_ATTRIBUTES,TMAX,TMAX_ATTRIBUTES,TMIN,TMIN_ATTRIBUTES,TSUN,TSUN_ATTRIBUTES,WDF2,WDF2_ATTRIBUTES,WDF5,WDF5_ATTRIBUTES,WSF2,WSF2_ATTRIBUTES,WSF5,WSF5_ATTRIBUTES,WT01,WT01_ATTRIBUTES,WT02,WT02_ATTRIBUTES,WT03,WT03_ATTRIBUTES,WT04,WT04_ATTRIBUTES,WT06,WT06_ATTRIBUTES,WT08,WT08_ATTRIBUTES,WT13,WT13_ATTRIBUTES,WT14,WT14_ATTRIBUTES,WT16,WT16_ATTRIBUTES,WT18,WT18_ATTRIBUTES,WT19,WT19_ATTRIBUTES,WT22,WT22_ATTRIBUTES
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/28/2013,4.7,",,X",,,0.22,",,X,2400",0,"T,,X,",1,",,X,",,,36,",,X",29,",,X",,,250,",,X",250,",,Z",13,",,X",21,",,Z",,,,,,,,,,,1,",,X",,,,,1,",,X",1,",,X",1,",,X",,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/29/2013,4.47,",,X",,,0.06,",,X,2400",0,",,X,",0,",,X,",,,49,",,X",36,",,X",,,140,",,X",,,10.1,",,X",,,,,,,,,,,,,1,",,X",1,",,X",,,1,",,X",,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/30/2013,5.14,",,X",,,0.04,",,X,2400",0,",,X,",0,",,X,",,,59,",,X",39,",,X",,,170,",,X",170,",,X",15,",,X",23,",,X",1,",,X",1,",,X",,,,,,,1,",,X",,,,,1,",,X",,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,1/31/2013,12.3,",,X",,,0.9,",,X,2400",0,",,X,",0,",,X,",,,61,",,X",30,",,X",,,280,",,X",290,",,Z",25.9,",,X",44.1,",,Z",1,",,X",,,,,,,,,,,1,",,X",,,1,",,X",,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/1/2013,8.5,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,31,",,X",24,",,X",,,290,",,X",290,",,X",15,",,X",32,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/2/2013,6.49,",,X",,,0.02,",,X,2400",0.1,",,X,",0,",,X,",,,29,",,X",19,",,X",,,290,",,X",250,",,X",16.1,",,X",25.9,",,X",,,,,,,,,,,1,",,X",1,",,X",,,,,1,",,X",,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/3/2013,3.58,",,X",,,0.02,",,X,2400",0.3,",,X,",0,"T,,X,",,,30,",,X",24,",,X",,,300,",,X",290,",,X",10.1,",,X",15,",,X",,,,,,,,,,,1,",,X",1,",,X",,,,,1,",,X",,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/4/2013,7.38,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,30,",,X",23,",,X",,,260,",,X",290,",,X",17,",,X",32,",,X",,,,,,,,,,,,,,,,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/5/2013,4.92,",,X",,,0.02,",,X,2400",0.4,",,X,",0,"T,,X,",,,32,",,X",28,",,X",,,60,",,X",60,",,X",13,",,X",15,",,X",,,,,,,,,,,1,",,X",1,",,X",,,,,1,",,X",,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/6/2013,4.7,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,39,",,X",29,",,X",,,310,",,X",300,",,Z",15,",,X",23,",,Z",,,,,,,,,,,1,",,X",1,",,X",,,,,,,,,,
USW00094728,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7,2/7/2013,5.82,",,X",,,0,",,X,2400",0,",,X,",0,",,X,",,,32,",,X",26,",,X",,,80,",,X",90,",,X",10.1,",,X",13,",,X",,,,,,,,,,,,,,,,,,,,,,,,
